19:43:21.478 > 68
19:43:21.482 > 698
19:43:21.486 > Analog Read: 698
19:43:27.068 > Set Direction to 0
19:43:27.089 > Set Direction to 1
19:43:27.113 > Set Direction to 0
19:43:27.134 > Set Direction to 1
19:43:27.154 > Set Direction to 0
19:43:27.175 > Set Direction to 1
19:43:27.195 > Set Direction to 0
19:43:27.216 > Set Direction to 1
19:43:27.236 > Set Direction to 0
19:43:27.257 > Set Direction to 1
19:43:27.277 > Set Direction to 0
19:43:27.298 > Set Direction to 1
19:43:27.318 > Set Direction to 0
19:43:27.339 > Set Direction to 1
19:43:27.363 > Set Direction to 0
19:43:27.384 > Set Direction to 1
19:43:27.404 > Set Direction to 0
19:43:27.425 > Set Direction to 1
19:43:27.445 > Set Direction to 0
19:43:27.466 > Set Direction to 1
19:43:27.486 > Set Direction to 0
19:43:27.507 > Set Direction to 1
19:43:27.527 > Set Direction to 0
19:43:27.548 > Set Direction to 1
19:43:27.568 > Set Direction to 0
19:43:27.593 > Set Direction to 1
19:43:27.613 > Set Direction to 0
19:43:27.634 > Set Direction to 1
19:43:27.654 > Set Direction to 0
19:43:27.675 > Set Direction to 1
19:43:27.695 > Set Direction to 0
19:43:27.716 > Set Direction to 1
19:43:27.736 > Set Direction to 0
19:43:27.757 > Set Direction to 1
19:43:27.777 > Set Direction to 0
19:43:27.798 > Set Direction to 1
19:43:27.818 > Set Direction to 0
19:43:27.843 > Set Direction to 1
19:43:27.863 > Set Direction to 0
19:43:27.883 > Set Direction to 1
19:43:27.904 > Set Direction to 0
19:43:27.925 > Set Direction to 1
19:43:27.945 > Set Direction to 0
19:43:27.965 > Set Direction to 1
19:43:27.986 > Set Direction to 0
19:43:28.006 > Set Direction to 1
19:43:28.027 > Set Direction to 0
19:43:28.047 > Set Direction to 1
19:43:28.068 > Set Direction to 0
19:43:28.092 > Set Direction to 1
19:43:28.113 > Set Direction to 0
19:43:28.133 > Set Direction to 1
19:43:28.154 > Set Direction to 0
19:43:28.174 > Set Direction to 1
19:43:28.195 > Set Direction to 0
19:43:28.215 > Set Direction to 1
19:43:28.236 > Set Direction to 0
19:43:28.257 > Set Direction to 1
19:43:28.277 > Set Direction to 0
19:43:28.297 > Set Direction to 1
19:43:28.322 > Set Direction to 0
19:43:28.342 > Set Direction to 1
19:43:28.363 > Set Direction to 0
19:43:28.383 > Set Direction to 1
19:43:28.404 > Set Direction to 0
19:43:28.424 > Set Direction to 1
19:43:28.445 > Set Direction to 0
19:43:28.465 > Set Direction to 1
19:43:28.486 > Set Direction to 0
19:43:28.506 > Set Direction to 1
19:43:28.527 > Set Direction to 0
19:43:28.547 > Set Direction to 1
19:43:28.571 > Set Direction to 0
19:43:28.592 > Set Direction to 1
19:43:28.612 > Set Direction to 0
19:43:28.633 > Set Direction to 1
19:43:28.654 > Set Direction to 0
19:43:28.674 > Set Direction to 1
19:43:28.694 > Set Direction to 0
19:43:28.715 > Set Direction to 1
19:43:28.735 > Set Direction to 0
19:43:28.756 > Set Direction to 1
19:43:28.776 > Set Direction to 0
19:43:28.801 > Set Direction to 1
19:43:28.821 > Set Direction to 0
19:43:28.842 > Set Direction to 1
19:43:28.862 > Set Direction to 0
19:43:28.883 > Set Direction to 1
19:43:28.903 > Set Direction to 0
19:43:28.924 > Set Direction to 1
19:43:28.944 > Set Direction to 0
19:43:28.965 > Set Direction to 1
19:43:28.985 > Set Direction to 0
19:43:29.006 > Set Direction to 1
19:43:29.026 > Set Direction to 0
19:43:29.051 > Set Direction to 1
19:43:29.071 > Set Direction to 0
19:43:29.092 > Set Direction to 1
19:43:29.112 > Set Direction to 0
19:43:29.133 > Set Direction to 1
19:43:29.153 > Set Direction to 0
19:43:29.174 > Set Direction to 1
19:43:29.194 > Set Direction to 0
19:43:29.215 > Set Direction to 1
19:43:29.235 > Set Direction to 0
19:43:29.256 > Set Direction to 1
19:43:29.280 > Set Direction to 0
19:43:29.300 > Set Direction to 1
19:43:29.321 > Set Direction to 0
19:43:29.342 > Set Direction to 1
19:43:29.362 > Set Direction to 0
19:43:29.383 > Set Direction to 1
19:43:29.403 > Set Direction to 0
19:43:29.424 > Set Direction to 1
19:43:29.444 > Set Direction to 0
19:43:29.464 > Set Direction to 1
19:43:29.485 > Set Direction to 0
19:43:29.505 > Set Direction to 1
19:43:29.530 > Set Direction to 0
19:43:29.550 > Set Direction to 1
19:43:29.571 > Set Direction to 0
19:43:29.591 > Set Direction to 1
19:43:29.612 > Set Direction to 0
19:43:29.632 > Set Direction to 1
19:43:29.653 > Set Direction to 0
19:43:29.673 > Set Direction to 1
19:43:29.694 > Set Direction to 0
